"scenario","region","subRegion","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",1990,"Year","Vint_1990","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",1990,0.107444166666668,0.000386799
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2005,"Year","Vint_2005","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2005,0.23783277777778,0.000856198
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2010,"Year","Vint_2010","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2010,0.42599166666667,0.00153357
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2015,"Year","Vint_2015","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2015,0.498480555555559,0.00179453
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2020,"Year","Vint_2020","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2020,0.628188888888894,0.00226148
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2025,"Year","Vint_2025","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2025,0.711208333333339,0.00256035
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2030,"Year","Vint_2030","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2030,0.847830555555562,0.00305219
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2035,"Year","Vint_2035","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2035,0.896119444444452,0.00322603
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2040,"Year","Vint_2040","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2040,0.905894444444452,0.00326122
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2045,"Year","Vint_2045","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2045,0.942916666666674,0.0033945
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2050,"Year","Vint_2050","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2050,1.01870555555556,0.00366734
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm hvac",1990,"Year","Vint_1990","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",1990,0.698413888888895,0.00251429
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm hvac",2005,"Year","Vint_2005","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2005,1.54589166666668,0.00556521
"High","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm hvac",2010,"Year","Vint_2010","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","High","elec consumption by demand sector","EJ",2010,2.7690277777778,0.0099685
