region,year,value,units,source
KualaLumpur,1975,5.85123,billion (2005 USD),GCAM output
KualaLumpur,1990,15.762263,billion (2005 USD),GCAM output
KualaLumpur,2005,22.528949,billion (2005 USD),GCAM output
KualaLumpur,2010,31.810308,billion (2005 USD),GCAM output
KualaLumpur,2015,38.934147,billion (2005 USD),GCAM output
KualaLumpur,2020,46.284168,billion (2005 USD),GCAM output
KualaLumpur,2025,50.36051,billion (2005 USD),GCAM output
KualaLumpur,2030,55.710355,billion (2005 USD),GCAM output
KualaLumpur,2035,60.33457,billion (2005 USD),GCAM output
KualaLumpur,2040,64.640521,billion (2005 USD),GCAM output
KualaLumpur,2045,68.192085,billion (2005 USD),GCAM output
KualaLumpur,2050,71.072404,billion (2005 USD),GCAM output
KualaLumpur,2055,73.92784,billion (2005 USD),GCAM output
KualaLumpur,2060,76.067033,billion (2005 USD),GCAM output
KualaLumpur,2065,78.559952,billion (2005 USD),GCAM output
KualaLumpur,2070,80.709575,billion (2005 USD),GCAM output
KualaLumpur,2075,82.487741,billion (2005 USD),GCAM output
KualaLumpur,2080,84.27589,billion (2005 USD),GCAM output
KualaLumpur,2085,85.668593,billion (2005 USD),GCAM output
KualaLumpur,2090,87.102569,billion (2005 USD),GCAM output
KualaLumpur,2095,88.181776,billion (2005 USD),GCAM output
KualaLumpur,2100,89.290783,billion (2005 USD),GCAM output
Malaysia,1975,28.98944,billion (2005 USD),GCAM output
Malaysia,1990,80.398165,billion (2005 USD),GCAM output
Malaysia,2005,201.3437,billion (2005 USD),GCAM output
Malaysia,2010,250.6329,billion (2005 USD),GCAM output
Malaysia,2015,324.44303,billion (2005 USD),GCAM output
Malaysia,2020,473.87513,billion (2005 USD),GCAM output
Malaysia,2025,553.93581,billion (2005 USD),GCAM output
Malaysia,2030,652.64384,billion (2005 USD),GCAM output
Malaysia,2035,767.48708,billion (2005 USD),GCAM output
Malaysia,2040,891.16006,billion (2005 USD),GCAM output
Malaysia,2045,1014.66169,billion (2005 USD),GCAM output
Malaysia,2050,1132.11392,billion (2005 USD),GCAM output
Malaysia,2055,1240.33411,billion (2005 USD),GCAM output
Malaysia,2060,1339.22243,billion (2005 USD),GCAM output
Malaysia,2065,1429.75632,billion (2005 USD),GCAM output
Malaysia,2070,1513.1695,billion (2005 USD),GCAM output
Malaysia,2075,1592.5567,billion (2005 USD),GCAM output
Malaysia,2080,1674.6259,billion (2005 USD),GCAM output
Malaysia,2085,1763.4299,billion (2005 USD),GCAM output
Malaysia,2090,1859.0134,billion (2005 USD),GCAM output
Malaysia,2095,1959.5735,billion (2005 USD),GCAM output
Malaysia,2100,2063.9778,billion (2005 USD),GCAM output
Rest of Malaysia,1975,23.13821,billion (2005 USD),GCAM output
Rest of Malaysia,1990,64.640372,billion (2005 USD),GCAM output
Rest of Malaysia,2005,178.8149,billion (2005 USD),GCAM output
Rest of Malaysia,2010,218.82736,billion (2005 USD),GCAM output
Rest of Malaysia,2015,285.4989,billion (2005 USD),GCAM output
Rest of Malaysia,2020,427.5853,billion (2005 USD),GCAM output
Rest of Malaysia,2025,503.56338,billion (2005 USD),GCAM output
Rest of Malaysia,2030,596.9238,billion (2005 USD),GCAM output
Rest of Malaysia,2035,707.13761,billion (2005 USD),GCAM output
Rest of Malaysia,2040,826.51045,billion (2005 USD),GCAM output
Rest of Malaysia,2045,946.4331,billion (2005 USD),GCAM output
Rest of Malaysia,2050,1061.029,billion (2005 USD),GCAM output
Rest of Malaysia,2055,1166.35412,billion (2005 USD),GCAM output
Rest of Malaysia,2060,1263.12515,billion (2005 USD),GCAM output
Rest of Malaysia,2065,1351.17074,billion (2005 USD),GCAM output
Rest of Malaysia,2070,1432.40703,billion (2005 USD),GCAM output
Rest of Malaysia,2075,1510.0256,billion (2005 USD),GCAM output
Rest of Malaysia,2080,1590.2472,billion (2005 USD),GCAM output
Rest of Malaysia,2085,1677.6804,billion (2005 USD),GCAM output
Rest of Malaysia,2090,1771.8037,billion (2005 USD),GCAM output
Rest of Malaysia,2095,1871.291,billion (2005 USD),GCAM output
Rest of Malaysia,2100,1974.6076,billion (2005 USD),GCAM output
