year,metric,units,value,region
1971,population,million,11.06243,Malaysia
1972,population,million,11.32428,Malaysia
1973,population,million,11.59264,Malaysia
1974,population,million,11.8711,Malaysia
1975,population,million,12.16219,Malaysia
1976,population,million,12.46869,Malaysia
1977,population,million,12.79031,Malaysia
1978,population,million,13.12284,Malaysia
1979,population,million,13.46003,Malaysia
1980,population,million,13.79809,Malaysia
1981,population,million,14.13406,Malaysia
1982,population,million,14.47121,Malaysia
1983,population,million,14.81942,Malaysia
1984,population,million,15.1923,Malaysia
1985,population,million,15.59893,Malaysia
1986,population,million,16.04373,Malaysia
1987,population,million,16.522,Malaysia
1988,population,million,17.02247,Malaysia
1989,population,million,17.52896,Malaysia
1990,population,million,18.02982,Malaysia
1991,population,million,18.51994,Malaysia
1992,population,million,19.00266,Malaysia
1993,population,million,19.4849,Malaysia
1994,population,million,19.9775,Malaysia
1995,population,million,20.48761,Malaysia
1996,population,million,21.01761,Malaysia
1997,population,million,21.56279,Malaysia
1998,population,million,22.11465,Malaysia
1999,population,million,22.6613,Malaysia
2000,population,million,23.19426,Malaysia
2001,population,million,23.70912,Malaysia
2002,population,million,24.20839,Malaysia
2003,population,million,24.69882,Malaysia
2004,population,million,25.19065,Malaysia
2005,population,million,25.69061,Malaysia
2006,population,million,26.20196,Malaysia
2007,population,million,26.72037,Malaysia
2008,population,million,27.23601,Malaysia
2009,population,million,27.73504,Malaysia
2010,population,million,28.20804,Malaysia
2011,population,million,28.65096,Malaysia
2012,population,million,29.06819,Malaysia
2013,population,million,29.46892,Malaysia
2014,population,million,29.8666,Malaysia
2015,population,million,30.27096,Malaysia
2016,population,million,30.68465,Malaysia
2017,population,million,31.10465,Malaysia
2018,population,million,31.52803,Malaysia
2019,population,million,31.94978,Malaysia
2020,population,million,32.366,Malaysia
2025,population,million,34.35,Malaysia
2030,population,million,36.095,Malaysia
2035,population,million,37.566,Malaysia
2040,population,million,38.755,Malaysia
2045,population,million,39.73,Malaysia
2050,population,million,40.55,Malaysia
2055,population,million,41.231,Malaysia
2060,population,million,41.732,Malaysia
2065,population,million,42.013,Malaysia
2070,population,million,42.062,Malaysia
2075,population,million,41.912,Malaysia
2080,population,million,41.625,Malaysia
2085,population,million,41.268,Malaysia
2090,population,million,40.887,Malaysia
2095,population,million,40.493,Malaysia
2100,population,million,40.078,Malaysia
1971,population,million,0.623162803,KualaLumpur
1972,population,million,0.637913195,KualaLumpur
1973,population,million,0.653030305,KualaLumpur
1974,population,million,0.668716362,KualaLumpur
1975,population,million,0.685113886,KualaLumpur
1976,population,million,0.702379478,KualaLumpur
1977,population,million,0.720496801,KualaLumpur
1978,population,million,0.739228701,KualaLumpur
1979,population,million,0.758223105,KualaLumpur
1980,population,million,0.777266517,KualaLumpur
1981,population,million,0.796192197,KualaLumpur
1982,population,million,0.815184348,KualaLumpur
1983,population,million,0.834799525,KualaLumpur
1984,population,million,0.855804398,KualaLumpur
1985,population,million,0.878710459,KualaLumpur
1986,population,million,0.903766691,KualaLumpur
1987,population,million,0.930708337,KualaLumpur
1988,population,million,0.958900542,KualaLumpur
1989,population,million,0.987431861,KualaLumpur
1990,population,million,1.015646035,KualaLumpur
1991,population,million,1.043255209,KualaLumpur
1992,population,million,1.07044753,KualaLumpur
1993,population,million,1.097612812,KualaLumpur
1994,population,million,1.125361688,KualaLumpur
1995,population,million,1.154096927,KualaLumpur
1996,population,million,1.1839526,KualaLumpur
1997,population,million,1.214663384,KualaLumpur
1998,population,million,1.245750462,KualaLumpur
1999,population,million,1.276544053,KualaLumpur
2000,population,million,1.306566466,KualaLumpur
2001,population,million,1.33556928,KualaLumpur
2002,population,million,1.363693887,KualaLumpur
2003,population,million,1.391320524,KualaLumpur
2004,population,million,1.419026024,KualaLumpur
2005,population,million,1.4471895,KualaLumpur
2006,population,million,1.47599459,KualaLumpur
2007,population,million,1.505197381,KualaLumpur
2008,population,million,1.534244134,KualaLumpur
2009,population,million,1.562355221,KualaLumpur
2010,population,million,1.589,KualaLumpur
2011,population,million,1.613950329,KualaLumpur
2012,population,million,1.637453503,KualaLumpur
2013,population,million,1.660027208,KualaLumpur
2014,population,million,1.682429102,KualaLumpur
2015,population,million,1.70520729,KualaLumpur
2016,population,million,1.72851105,KualaLumpur
2017,population,million,1.752170262,KualaLumpur
2018,population,million,1.776019875,KualaLumpur
2019,population,million,1.799777667,KualaLumpur
2020,population,million,1.82322389,KualaLumpur
2025,population,million,1.934981952,KualaLumpur
2030,population,million,2.033286992,KualaLumpur
2035,population,million,2.116155861,KualaLumpur
2040,population,million,2.183101629,KualaLumpur
2045,population,million,2.238031842,KualaLumpur
2050,population,million,2.284261153,KualaLumpur
2055,population,million,2.322588739,KualaLumpur
2060,population,million,2.350817446,KualaLumpur
2065,population,million,2.36667385,KualaLumpur
2070,population,million,2.369410601,KualaLumpur
2075,population,million,2.360991696,KualaLumpur
2080,population,million,2.344802091,KualaLumpur
2085,population,million,2.32468641,KualaLumpur
2090,population,million,2.303220857,KualaLumpur
2095,population,million,2.281017588,KualaLumpur
2100,population,million,2.257661608,KualaLumpur
1971,population,million,10.4392672,Rest of Malaysia
1972,population,million,10.68636681,Rest of Malaysia
1973,population,million,10.9396097,Rest of Malaysia
1974,population,million,11.20238364,Rest of Malaysia
1975,population,million,11.47707611,Rest of Malaysia
1976,population,million,11.76631052,Rest of Malaysia
1977,population,million,12.0698132,Rest of Malaysia
1978,population,million,12.3836113,Rest of Malaysia
1979,population,million,12.7018069,Rest of Malaysia
1980,population,million,13.02082348,Rest of Malaysia
1981,population,million,13.3378678,Rest of Malaysia
1982,population,million,13.65602565,Rest of Malaysia
1983,population,million,13.98462048,Rest of Malaysia
1984,population,million,14.3364956,Rest of Malaysia
1985,population,million,14.72021954,Rest of Malaysia
1986,population,million,15.13996331,Rest of Malaysia
1987,population,million,15.59129166,Rest of Malaysia
1988,population,million,16.06356946,Rest of Malaysia
1989,population,million,16.54152814,Rest of Malaysia
1990,population,million,17.01417397,Rest of Malaysia
1991,population,million,17.47668479,Rest of Malaysia
1992,population,million,17.93221247,Rest of Malaysia
1993,population,million,18.38728719,Rest of Malaysia
1994,population,million,18.85213831,Rest of Malaysia
1995,population,million,19.33351307,Rest of Malaysia
1996,population,million,19.8336574,Rest of Malaysia
1997,population,million,20.34812662,Rest of Malaysia
1998,population,million,20.86889954,Rest of Malaysia
1999,population,million,21.38475595,Rest of Malaysia
2000,population,million,21.88769353,Rest of Malaysia
2001,population,million,22.37355072,Rest of Malaysia
2002,population,million,22.84469611,Rest of Malaysia
2003,population,million,23.30749948,Rest of Malaysia
2004,population,million,23.77162398,Rest of Malaysia
2005,population,million,24.2434205,Rest of Malaysia
2006,population,million,24.72596541,Rest of Malaysia
2007,population,million,25.21517262,Rest of Malaysia
2008,population,million,25.70176587,Rest of Malaysia
2009,population,million,26.17268478,Rest of Malaysia
2010,population,million,26.619,Rest of Malaysia
2011,population,million,27.03700967,Rest of Malaysia
2012,population,million,27.4307365,Rest of Malaysia
2013,population,million,27.80889279,Rest of Malaysia
2014,population,million,28.1841709,Rest of Malaysia
2015,population,million,28.56575271,Rest of Malaysia
2016,population,million,28.95613895,Rest of Malaysia
2017,population,million,29.35247974,Rest of Malaysia
