Units,scenario,region,sector,year,value
MTC,Ref_cities,KualaLumpur,comm others,1990,0.031913313
MTC,Ref_cities,KualaLumpur,comm others,2005,0.10133378
MTC,Ref_cities,KualaLumpur,comm others,2010,0.16600968
MTC,Ref_cities,KualaLumpur,comm others,2015,0.10496036
MTC,Ref_cities,KualaLumpur,comm others,2020,0.08490111
MTC,Ref_cities,KualaLumpur,comm others,2025,0.08735614
MTC,Ref_cities,KualaLumpur,comm others,2030,0.08302338
MTC,Ref_cities,KualaLumpur,comm others,2035,0.07716154
MTC,Ref_cities,KualaLumpur,comm others,2040,0.07184059
MTC,Ref_cities,KualaLumpur,comm others,2045,0.06660379
MTC,Ref_cities,KualaLumpur,comm others,2050,0.06463178
MTC,Ref_cities,KualaLumpur,comm others,2055,0.0616344
MTC,Ref_cities,KualaLumpur,comm others,2060,0.05596649
MTC,Ref_cities,KualaLumpur,comm others,2065,0.05143055
MTC,Ref_cities,KualaLumpur,comm others,2070,0.04482883
MTC,Ref_cities,KualaLumpur,comm others,2075,0.04017159
MTC,Ref_cities,KualaLumpur,comm others,2080,0.03950021
MTC,Ref_cities,KualaLumpur,comm others,2085,0.03763406
MTC,Ref_cities,KualaLumpur,comm others,2090,0.03479186
MTC,Ref_cities,KualaLumpur,comm others,2095,0.03102644
MTC,Ref_cities,KualaLumpur,comm others,2100,0.02713476
MTC,Ref_cities,KualaLumpur,industrial energy use,1975,0.2786937
MTC,Ref_cities,KualaLumpur,industrial energy use,1990,0.67692403
MTC,Ref_cities,KualaLumpur,industrial energy use,2005,2.1966996
MTC,Ref_cities,KualaLumpur,industrial energy use,2010,1.584486
MTC,Ref_cities,KualaLumpur,industrial energy use,2015,1.8119157
MTC,Ref_cities,KualaLumpur,industrial energy use,2020,1.84860748
MTC,Ref_cities,KualaLumpur,industrial energy use,2025,1.99003397
MTC,Ref_cities,KualaLumpur,industrial energy use,2030,2.09390923
MTC,Ref_cities,KualaLumpur,industrial energy use,2035,2.16934079
MTC,Ref_cities,KualaLumpur,industrial energy use,2040,2.22900787
MTC,Ref_cities,KualaLumpur,industrial energy use,2045,2.2969597
MTC,Ref_cities,KualaLumpur,industrial energy use,2050,2.39587282
MTC,Ref_cities,KualaLumpur,industrial energy use,2055,2.48098978
MTC,Ref_cities,KualaLumpur,industrial energy use,2060,2.51346328
MTC,Ref_cities,KualaLumpur,industrial energy use,2065,2.54531049
