region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Thailand,trn_pass_road_LDV_4W,Car,BEV,1975,non-energy,0.5448,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,1990,non-energy,0.5448,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2005,non-energy,0.3148,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2010,non-energy,0.2818,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2015,non-energy,0.2487,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2020,non-energy,0.2232,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2025,non-energy,0.213734832,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2030,non-energy,0.20467105,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2035,non-energy,0.195991632,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2040,non-energy,0.18768028,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2045,non-energy,0.179721385,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2050,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2055,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2060,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2065,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2070,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2075,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2080,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2085,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2090,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2095,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2100,non-energy,0.1721,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,1975,non-energy,1.1146,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,1990,non-energy,1.1146,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2005,non-energy,0.6044,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2010,non-energy,0.5374,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2015,non-energy,0.4704,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2020,non-energy,0.4185,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,non-energy,0.395758883,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2030,non-energy,0.374253509,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2035,non-energy,0.353916727,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2040,non-energy,0.334685039,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2045,non-energy,0.316498392,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2050,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2055,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2060,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2065,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2070,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2075,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2080,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2085,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2090,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2095,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2100,non-energy,0.2993,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,1975,non-energy,0.353,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,1990,non-energy,0.353,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2005,non-energy,0.1894,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2010,non-energy,0.1694,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2015,non-energy,0.1493,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2020,non-energy,0.1338,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2025,non-energy,0.12075445,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2030,non-energy,0.108980846,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2035,non-energy,0.098355173,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2040,non-energy,0.088765507,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2045,non-energy,0.080110837,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2050,non-energy,0.0723,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2055,non-energy,0.0723,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2060,non-energy,0.0723,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2065,non-energy,0.0723,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2070,non-energy,0.0723,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2075,non-energy,0.0723,CORE
