year,class,Units,region,value,scenario
2013,other,KT,Thailand,19.80552,EPPO
2013,electricity,KT,Thailand,96.35507,EPPO
2013,transportation,KT,Thailand,64.50666,EPPO
2014,industry,KT,Thailand,66.93858,EPPO
2014,other,KT,Thailand,19.1941,EPPO
2014,electricity,KT,Thailand,99.05377,EPPO
2014,transportation,KT,Thailand,65.30029,EPPO
2015,industry,KT,Thailand,67.98838,EPPO
2015,other,KT,Thailand,19.4081,EPPO
2015,electricity,KT,Thailand,97.91001,EPPO
2015,transportation,KT,Thailand,69.12406,EPPO
